COBId,EntityCode,SourceSystemCode,BookCode,CurrencyCode,ScenarioDate,TradeCode,AllVaR,AllVaRSkew,BasisVaR,BondAssetSpreadVaR,CrossEffects,EquityPriceVaR,EquityVegaVaR,FXRateVaR,FXVolatilityVaR,IRCapVolVaR,IRCapVolVaRSkew,IRSkewVolVaR,IRSwaptionVolVaR,IRSwaptionVolVaRSkew,InflationRateCurveVaR,InflationVolVaR,InterestRateCurveVaR,InterestRateVegaVaR,MTGSprdVaR,OASVaR,ParCreditSpreadVaR,Category,Detail
20260326,MUSEU,QP,Book-FCT,USD,20080207,,,,,,,,,-44.70527356,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080208,,,,,,,,,11.08563478,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080211,,,,,,,,,-13.39765352,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080212,,,,,,,,,37.81681203,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080213,,,,,,,,,2.161693643,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080214,,,,,,,,,13.58747886,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080215,,,,,,,,,14.27254927,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080218,,,,,,,,,-8.359341151,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080219,,,,,,,,,17.98640567,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080220,,,,,,,,,-18.40473039,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080221,,,,,,,,,37.43267377,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080222,,,,,,,,,4.198415418,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080225,,,,,,,,,8.96821713,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080226,,,,,,,,,10.5605722,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
