COBId,EntityCode,SourceSystemCode,BookCode,CurrencyCode,ScenarioDate,TradeCode,AllVaR,AllVaRSkew,BasisVaR,BondAssetSpreadVaR,CrossEffects,EquityPriceVaR,EquityVegaVaR,FXRateVaR,FXVolatilityVaR,IRCapVolVaR,IRCapVolVaRSkew,IRSkewVolVaR,IRSwaptionVolVaR,IRSwaptionVolVaRSkew,InflationRateCurveVaR,InflationVolVaR,InterestRateCurveVaR,InterestRateVegaVaR,MTGSprdVaR,OASVaR,ParCreditSpreadVaR,Category,Detail
20260326,MUSEU,QP,Book-EDS,USD,20080207,,,,,,,,,1109.754873,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080208,,,,,,,,,-90.98957963,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080211,,,,,,,,,92.15962119,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080212,,,,,,,,,-796.6267555,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080213,,,,,,,,,216.7197429,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080214,,,,,,,,,-457.2986355,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080215,,,,,,,,,-461.5232617,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080218,,,,,,,,,299.4207516,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080219,,,,,,,,,-707.2278931,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080220,,,,,,,,,648.010324,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080221,,,,,,,,,-1041.459122,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080222,,,,,,,,,-277.4880253,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080225,,,,,,,,,10.11328131,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
