TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,DATA_TYPE_ALIAS,COMMENT,EXPRESSION,KIND
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_SENSITIVITY_MEASURES,CURRENCY_CODE,20,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_RRAO_MEASURES_ADJUSTED,CCY2_OFFSHORE_QUALIFIER,26,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_DRC_MEASURES,RAPTOR_TRADE_LOGIC,7,,YES,TEXT,2,8,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_SENSITIVITY_MEASURES_ADJUSTMENT,IS_OFFICIAL_SOURCE,84,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VW_STRESS_MEASURES_PROFILE,CURRENCY,13,,YES,TEXT,3,12,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VW_PNL_CAPITAL_OPTIMISE_DEPT_EXTRACT_WITH_ADJ_10DAY,FXRATEVARCVADJUSTMENT,15,,YES,NUMBER,,,38,10,4,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,RM_SENSITIVITY_MEASURES_SUMMARY,COMMON_INSTRUMENT_FCD_KEY,13,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_RRAO_MEASURES,FRTBSA_RRAO_KEY,1,,YES,TEXT,32,128,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_SENSITIVITY_MEASURES_ADJUSTMENT,IS_CVA_COUNTERPARTY,112,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_RRAO_MEASURES_ADJUSTED,MUFG_ORGANIZATION_CODE,12,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,SENSITIVITY_SUMMARY_COMBINED,COUNTERPARTY_KEY,9,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_DRC_MEASURES,TRADE_KEY,77,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VW_SENSITIVITY_DETAIL_FIELDS,TENOR_GROUP_ORDER,16,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,STRESS_MEASURES,COUNTERPARTY_KEY,9,,NO,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VW_STRESS_CV_ADJUSTMENT_STATUS,COMPONENT,3,,NO,TEXT,18,72,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_SENSITIVITY_MEASURES,RAPTOR_TRADE_LOGIC,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
